id,label,wasserstein_mean,corr_diff_mae,f1_score,auc_roc,f1_gap_%
baseline_trtr,Baseline TRTR,0.0,0.0,0.590598724676937,0.6879478247136509,+0.00%
v1_baseline,"V1 — Baseline (Linear, T=1000)",0.49280808894257727,0.011157117835651447,0.5679178589463053,0.6471851169106162,-3.84%
v2_cosine,"V2 — Cosine, T=1000",169.94376551909266,0.3165368121692303,0.5349020559160652,0.6490945023141934,-9.43%
v3_lin500,"V3 — Linear, T=500",0.7666219269400264,0.011256468980715108,0.5649528275554067,0.6422061626685361,-4.34%
v4_cos500,"V4 — Cosine, T=500",51.36060219672062,0.3951329930696688,0.5565138447571494,0.6415801580098817,-5.77%
