id,label,loss_factor,embedding_dim,wasserstein_mean,corr_diff_mae,f1_score,auc_roc,f1_gap_%
baseline_trtr,Baseline TRTR (Real → Real),—,—,0.0,0.0,0.590598724676937,0.6879478247136509,+0.00%
v1_baseline,"V1 — Baseline (lf=2, ed=128)",2,128,0.7265256400457045,0.04910274825165129,0.4486343107032762,0.6659917970302299,-24.04%
v2_lf5,"V2 — loss_factor=5, ed=128",5,128,1.0690716931384563,0.06266077283580129,0.4233863305251156,0.5533142995370963,-28.31%
v3_lf10,"V3 — loss_factor=10, ed=128",10,128,1.1937552859240876,0.055289206645502895,0.4795007800312012,0.5983308285010452,-18.81%
v4_ed256,"V4 — loss_factor=5, ed=256",5,256,0.529024561953234,0.05842947825287342,0.33860658357302653,0.627921092331446,-42.67%
